Number Variables
1 activity_f
2 subject_f
3 t_body_acc_mean_x
4 t_body_acc_mean_y
5 t_body_acc_mean_z
6 t_body_acc_std_x
7 t_body_acc_std_y
8 t_body_acc_std_z
9 t_body_acc_mad_x
10 t_body_acc_mad_y
11 t_body_acc_mad_z
12 t_body_acc_max_x
13 t_body_acc_max_y
14 t_body_acc_max_z
15 t_body_acc_min_x
16 t_body_acc_min_y
17 t_body_acc_min_z
18 t_body_acc_sma
19 t_body_acc_energy_x
20 t_body_acc_energy_y
21 t_body_acc_energy_z
22 t_body_acc_iqr_x
23 t_body_acc_iqr_y
24 t_body_acc_iqr_z
25 t_body_acc_entropy_x
26 t_body_acc_entropy_y
27 t_body_acc_entropy_z
28 t_body_acc_ar_coeff_x_1
29 t_body_acc_ar_coeff_x_2
30 t_body_acc_ar_coeff_x_3
31 t_body_acc_ar_coeff_x_4
32 t_body_acc_ar_coeff_y_1
33 t_body_acc_ar_coeff_y_2
34 t_body_acc_ar_coeff_y_3
35 t_body_acc_ar_coeff_y_4
36 t_body_acc_ar_coeff_z_1
37 t_body_acc_ar_coeff_z_2
38 t_body_acc_ar_coeff_z_3
39 t_body_acc_ar_coeff_z_4
40 t_body_acc_correlation_x_y
41 t_body_acc_correlation_x_z
42 t_body_acc_correlation_y_z
43 t_gravity_acc_mean_x
44 t_gravity_acc_mean_y
45 t_gravity_acc_mean_z
46 t_gravity_acc_std_x
47 t_gravity_acc_std_y
48 t_gravity_acc_std_z
49 t_gravity_acc_mad_x
50 t_gravity_acc_mad_y
51 t_gravity_acc_mad_z
52 t_gravity_acc_max_x
53 t_gravity_acc_max_y
54 t_gravity_acc_max_z
55 t_gravity_acc_min_x
56 t_gravity_acc_min_y
57 t_gravity_acc_min_z
58 t_gravity_acc_sma
59 t_gravity_acc_energy_x
60 t_gravity_acc_energy_y
61 t_gravity_acc_energy_z
62 t_gravity_acc_iqr_x
63 t_gravity_acc_iqr_y
64 t_gravity_acc_iqr_z
65 t_gravity_acc_entropy_x
66 t_gravity_acc_entropy_y
67 t_gravity_acc_entropy_z
68 t_gravity_acc_ar_coeff_x_1
69 t_gravity_acc_ar_coeff_x_2
70 t_gravity_acc_ar_coeff_x_3
71 t_gravity_acc_ar_coeff_x_4
72 t_gravity_acc_ar_coeff_y_1
73 t_gravity_acc_ar_coeff_y_2
74 t_gravity_acc_ar_coeff_y_3
75 t_gravity_acc_ar_coeff_y_4
76 t_gravity_acc_ar_coeff_z_1
77 t_gravity_acc_ar_coeff_z_2
78 t_gravity_acc_ar_coeff_z_3
79 t_gravity_acc_ar_coeff_z_4
80 t_gravity_acc_correlation_x_y
81 t_gravity_acc_correlation_x_z
82 t_gravity_acc_correlation_y_z
83 t_body_acc_jerk_mean_x
84 t_body_acc_jerk_mean_y
85 t_body_acc_jerk_mean_z
86 t_body_acc_jerk_std_x
87 t_body_acc_jerk_std_y
88 t_body_acc_jerk_std_z
89 t_body_acc_jerk_mad_x
90 t_body_acc_jerk_mad_y
91 t_body_acc_jerk_mad_z
92 t_body_acc_jerk_max_x
93 t_body_acc_jerk_max_y
94 t_body_acc_jerk_max_z
95 t_body_acc_jerk_min_x
96 t_body_acc_jerk_min_y
97 t_body_acc_jerk_min_z
98 t_body_acc_jerk_sma
99 t_body_acc_jerk_energy_x
100 t_body_acc_jerk_energy_y
101 t_body_acc_jerk_energy_z
102 t_body_acc_jerk_iqr_x
103 t_body_acc_jerk_iqr_y
104 t_body_acc_jerk_iqr_z
105 t_body_acc_jerk_entropy_x
106 t_body_acc_jerk_entropy_y
107 t_body_acc_jerk_entropy_z
108 t_body_acc_jerk_ar_coeff_x_1
109 t_body_acc_jerk_ar_coeff_x_2
110 t_body_acc_jerk_ar_coeff_x_3
111 t_body_acc_jerk_ar_coeff_x_4
112 t_body_acc_jerk_ar_coeff_y_1
113 t_body_acc_jerk_ar_coeff_y_2
114 t_body_acc_jerk_ar_coeff_y_3
